q_id,layer,acc_base,acc_with,delta_acc,mean_delta_logprob,mean_delta_p
Q11,6,0.0,0.2,0.2,1.5026331901550294,0.018458136613844545
Q11,7,0.0,0.2,0.2,1.6541592597961425,0.020541923199562006
Q11,8,0.0,0.2,0.2,1.9063011169433595,0.02347614708742185
Q11,9,0.0,0.3,0.3,2.8022300720214846,0.038713567390004755
Q11,10,0.0,0.5,0.5,3.606881046295166,0.09465229768575227
Q11,11,0.0,0.4,0.4,3.41004638671875,0.07224929729745781
Q11,12,0.0,0.5,0.5,3.728532600402832,0.09148815140397346
Q11,13,0.0,0.4,0.4,3.897161293029785,0.13108257591993605
Q11,14,0.0,0.4,0.4,4.01795711517334,0.15319196056843792
Q11,15,0.0,0.4,0.4,3.131551170349121,0.06556334662054723
Q11,16,0.0,0.3,0.3,2.7201632499694823,0.04999107999065018
Q11,17,0.0,0.2,0.2,2.0497053146362303,0.021226107573966146
Q11,18,0.0,0.2,0.2,1.843254566192627,0.018554170997595064
Q11,19,0.0,0.2,0.2,1.512328815460205,0.01187129298086802
Q11,20,0.0,0.1,0.1,1.4147010803222657,0.010428973479793057
Q11,21,0.0,0.1,0.1,1.0361738204956055,0.005933149280099315
Q11,22,0.0,0.1,0.1,0.7739786148071289,0.005058498859943939
Q11,23,0.0,0.1,0.1,0.656246280670166,0.00509840389531746
Q11,24,0.0,0.1,0.1,0.5952038764953613,0.0041562350907042855
Q11,25,0.0,0.1,0.1,0.5404115676879883,0.003207621242836467
Q11,26,0.0,0.1,0.1,0.4756584167480469,0.004239111452989164
Q11,27,0.0,0.1,0.1,0.4720245361328125,0.004058274746421375
Q11,28,0.0,0.1,0.1,0.41083345413208006,0.004177511629313813
Q11,29,0.0,0.1,0.1,0.30307750701904296,0.004293860641701031
Q11,30,0.0,0.1,0.1,0.2538312911987305,0.004561916125021525
Q11,31,0.0,0.0,0.0,0.041666412353515626,0.0006148572243546369
Q12,0,0.0,0.0,0.0,-1.7657275199890137,-0.00018058799770415135
Q12,1,0.0,0.0,0.0,0.05464191436767578,0.00026050060082525304
Q12,2,0.0,0.0,0.0,-2.099248695373535,-0.0001787417486184495
Q12,3,0.0,0.0,0.0,-1.4457413673400878,-0.00010850737021996792
Q12,4,0.0,0.0,0.0,-0.33122873306274414,3.062982609662868e-05
Q12,5,0.0,0.0,0.0,1.0182780265808105,0.001145272326812119
Q12,6,0.0,0.0,0.0,1.4879682540893555,0.001931502586830902
Q12,7,0.0,0.0,0.0,1.8292150497436523,0.0033476656227321654
Q12,8,0.0,0.0,0.0,2.257558250427246,0.006573044205379119
Q12,9,0.0,0.0,0.0,2.551393985748291,0.009302710338943143
Q12,10,0.0,0.0,0.0,2.7574413299560545,0.010675457829620427
Q12,11,0.0,0.0,0.0,2.110987091064453,0.004353650158827804
Q12,12,0.0,0.0,0.0,2.1967645645141602,0.004526752859328553
Q12,13,0.0,0.1,0.1,2.6476110458374023,0.007413640779213892
Q12,14,0.0,0.0,0.0,3.040359687805176,0.008822463811247872
Q12,15,0.0,0.0,0.0,2.27628755569458,0.0027701410735062383
Q12,16,0.0,0.0,0.0,1.5063626289367675,0.0008941733524807205
Q12,17,0.0,0.0,0.0,1.1749451637268067,0.000644323179312778
Q12,18,0.0,0.0,0.0,1.2023544311523438,0.0006465862331424433
Q12,19,0.0,0.0,0.0,0.8291543006896973,0.00033231774114028667
Q12,20,0.0,0.0,0.0,0.691927146911621,0.0002088021871713863
Q12,21,0.0,0.0,0.0,0.4994489669799805,0.00012773147000189056
Q12,22,0.0,0.0,0.0,0.2017333984375,1.381436832161853e-05
Q12,23,0.0,0.0,0.0,0.22151098251342774,4.455236830835929e-06
Q12,24,0.0,0.0,0.0,0.20782747268676757,1.3026679334871006e-05
Q12,25,0.0,0.0,0.0,0.20231761932373046,1.2028107084915973e-05
Q12,26,0.0,0.0,0.0,0.2463240623474121,4.745213300338946e-05
